"","X","BRCA","COAD","KIRC","LUAD","PRAD"
"775","sample_774",0,0,1,0,0
"776","sample_775",1,0,0,0,0
"777","sample_776",0,0,0,1,0
"778","sample_777",0,0,1,0,0
"779","sample_778",0,0,0,1,0
"780","sample_779",0,0,0,1,0
"781","sample_780",0,0,0,1,0
"782","sample_781",0,0,1,0,0
"783","sample_782",1,0,0,0,0
"784","sample_783",0,0,0,0,1
"785","sample_784",1,0,0,0,0
"786","sample_785",1,0,0,0,0
"787","sample_786",0,0,1,0,0
"788","sample_787",1,0,0,0,0
"789","sample_788",0,0,0,0,1
"790","sample_789",0,0,1,0,0
"791","sample_790",1,0,0,0,0
"792","sample_791",1,0,0,0,0
"793","sample_792",1,0,0,0,0
"794","sample_793",1,0,0,0,0
"795","sample_794",0,0,0,0,1
"796","sample_795",0,0,0,1,0
"797","sample_796",1,0,0,0,0
"798","sample_797",0,0,0,1,0
"799","sample_798",0,1,0,0,0
"800","sample_799",0,0,0,0,1
"801","sample_800",0,0,0,0,1
